conv_from,conv_to,input_energy,input_unit,output_energy,output_unit,flux_count_ratio,gal_nh,model_src,phot_ind,redshift,intrinsic_nh,bb_temp_kev,temp_kev,solar_abd,logt,frame_time,output_flux
flux,flux,0.5-7,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.74
flux,flux,2-7,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.334
flux,flux,1.2-2,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,3.969
flux,flux,0.5-1.2,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,2.858
flux,flux,0.2-0.5,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,5.147
flux,flux,0.1-10,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.5541
flux,flux,0.5-7,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.74
flux,flux,2-7,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.334
flux,flux,1.2-2,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,3.969
flux,flux,0.5-1.2,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,2.858
flux,flux,0.2-0.5,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,5.147
flux,flux,0.1-10,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.5541
flux,flux,0.5-7,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.74
flux,flux,2-7,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.334
flux,flux,1.2-2,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,3.969
flux,flux,0.5-1.2,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,2.858
flux,flux,0.2-0.5,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,5.147
flux,flux,0.1-10,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.5541
flux,flux,0.2-0.5,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,5.147
flux,flux,0.5-1,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,3.734
flux,flux,1-2,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,2.993
flux,flux,2-4.5,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,2.16
flux,flux,4.5-12,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.488
flux,flux,0.2-12,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.5178
flux,flux,0.5-4.5,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.9391
flux,flux,0.2-0.5,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,5.147
flux,flux,0.5-1,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,3.734
flux,flux,1-2,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,2.993
flux,flux,2-4.5,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,2.16
flux,flux,4.5-12,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.488
flux,flux,0.2-12,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.5178
flux,flux,0.5-4.5,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.9391
flux,flux,0.2-0.5,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,5.147
flux,flux,0.5-1,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,3.734
flux,flux,1-2,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,2.993
flux,flux,2-4.5,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,2.16
flux,flux,4.5-12,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.488
flux,flux,0.2-12,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.5178
flux,flux,0.5-4.5,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.9391
flux,flux,3-8,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.614
flux,flux,8-24,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.169
flux,flux,3-24,kev,2-10,kev,1,2e+20,pl,1.4,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.6781
flux,flux,3-8,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.614
flux,flux,8-24,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.169
flux,flux,3-24,kev,2-10,kev,1,2e+20,pl,1.8,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.6781
flux,flux,3-8,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.614
flux,flux,8-24,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,1.169
flux,flux,3-24,kev,2-10,kev,1,2e+20,pl,2.0,0.0,0.0,0.0004974,2.353e-07,1.0,5.6,3.2,0.6781
